512: 	0x1218
888: 	0x6332
890: 	0x640a
892: 	0xa3aa
894: 	0xd345
896: 	0x632f
898: 	0x7406
900: 	0xa3e6
902: 	0xfc33
904: 	0xf265
906: 	0xf029
908: 	0x2394
910: 	0xf129
912: 	0x2394
914: 	0xf229
916: 	0xd345
918: 	0x7305
920: 	0xee
922: 	0x7f80
924: 	0x8080
926: 	0x8080
928: 	0x8080
930: 	0x8080
932: 	0x8080
934: 	0x8080
936: 	0x8080
938: 	0x1c22
940: 	0x2222
942: 	0x1c22
944: 	0x1408
946: 	0x1422
948: 	0x100
950: 	0x0
952: 	0x0
954: 	0x0
956: 	0x0
958: 	0x101
960: 	0x101
962: 	0x101
964: 	0x100
966: 	0x0
968: 	0x0
970: 	0x0
972: 	0x0
974: 	0x101
976: 	0x101
978: 	0x101
980: 	0x1305
982: 	0x1b05
984: 	0x2305
986: 	0x130d
988: 	0x1b0d
990: 	0x230d
992: 	0x1315
994: 	0x1b15
996: 	0x2315
512	0x1218: 1NNN: Jumps to address NNN
536	0x6b00: 6XNN: Sets VX to NN
538	0x6c00: 6XNN: Sets VX to NN
540	0x80b0: 8XY0: Sets VX to the value of VY
542	0x81c0: 8XY0: Sets VX to the value of VY
544	0xa3e6: ANNN: Sets I to the address NNN
546	0xf155: FX55: Stores V0 to VX (including VX) in memory starting at address I
548	0xa3c4: ANNN: Sets I to the address NNN
550	0xff65: FX65: Fills V0 to VX (including VX) with values from memory starting at address I
552	0xa3b4: ANNN: Sets I to the address NNN
554	0xff55: FX55: Stores V0 to VX (including VX) in memory starting at address I
556	0xa3e6: ANNN: Sets I to the address NNN
558	0xf165: FX65: Fills V0 to VX (including VX) with values from memory starting at address I
560	0x8b00: 8XY0: Sets VX to the value of VY
562	0x8c10: 8XY0: Sets VX to the value of VY
564	0xe0: 00E0: clears the screen
566	0x6e01: 6XNN: Sets VX to NN
568	0x6013: 6XNN: Sets VX to NN
570	0x6103: 6XNN: Sets VX to NN
572	0xa39a: ANNN: Sets I to the address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
582	0x6013: 6XNN: Sets VX to NN
584	0x7108: 7XNN: Adds NN to VX. (Carry flag is not changed)
586	0x3123: 3XNN: Skips the next instruction if VX equals NN
588	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
582	0x6013: 6XNN: Sets VX to NN
584	0x7108: 7XNN: Adds NN to VX. (Carry flag is not changed)
586	0x3123: 3XNN: Skips the next instruction if VX equals NN
588	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
582	0x6013: 6XNN: Sets VX to NN
584	0x7108: 7XNN: Adds NN to VX. (Carry flag is not changed)
586	0x3123: 3XNN: Skips the next instruction if VX equals NN
588	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
580	0x123e: 1NNN: Jumps to address NNN
574	0xd011: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
576	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
578	0x302b: 3XNN: Skips the next instruction if VX equals NN
582	0x6013: 6XNN: Sets VX to NN
584	0x7108: 7XNN: Adds NN to VX. (Carry flag is not changed)
586	0x3123: 3XNN: Skips the next instruction if VX equals NN
590	0x6013: 6XNN: Sets VX to NN
592	0x6103: 6XNN: Sets VX to NN
594	0xa39b: ANNN: Sets I to the address NNN
596	0xd01f: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
598	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
600	0x3033: 3XNN: Skips the next instruction if VX equals NN
602	0x1254: 1NNN: Jumps to address NNN
596	0xd01f: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
598	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
600	0x3033: 3XNN: Skips the next instruction if VX equals NN
602	0x1254: 1NNN: Jumps to address NNN
596	0xd01f: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
598	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
600	0x3033: 3XNN: Skips the next instruction if VX equals NN
602	0x1254: 1NNN: Jumps to address NNN
596	0xd01f: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
598	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
600	0x3033: 3XNN: Skips the next instruction if VX equals NN
604	0x6013: 6XNN: Sets VX to NN
606	0x710f: 7XNN: Adds NN to VX. (Carry flag is not changed)
608	0xd01a: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
610	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
612	0x3033: 3XNN: Skips the next instruction if VX equals NN
614	0x1260: 1NNN: Jumps to address NNN
608	0xd01a: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
610	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
612	0x3033: 3XNN: Skips the next instruction if VX equals NN
614	0x1260: 1NNN: Jumps to address NNN
608	0xd01a: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
610	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
612	0x3033: 3XNN: Skips the next instruction if VX equals NN
614	0x1260: 1NNN: Jumps to address NNN
608	0xd01a: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
610	0x7008: 7XNN: Adds NN to VX. (Carry flag is not changed)
612	0x3033: 3XNN: Skips the next instruction if VX equals NN
616	0x2366: 2NNN: Calls subroutine at NNN
870	0x6305: 6XNN: Sets VX to NN
872	0x640a: 6XNN: Sets VX to NN
874	0xa3af: ANNN: Sets I to the address NNN
876	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
878	0x6302: 6XNN: Sets VX to NN
880	0x7406: 7XNN: Adds NN to VX. (Carry flag is not changed)
882	0xa3e6: ANNN: Sets I to the address NNN
884	0xfb33: FX33: Stores the binary-coded decimal representation of VX
886	0x2388: 2NNN: Calls subroutine at NNN
904	0xf265: FX65: Fills V0 to VX (including VX) with values from memory starting at address I
906	0xf029: FX29: Sets I to the location of the sprite for the character in VX.
908	0x2394: 2NNN: Calls subroutine at NNN
916	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
918	0x7305: 7XNN: Adds NN to VX. (Carry flag is not changed)
920	0xee: 00EE: Returns from a subroutine
910	0xf129: FX29: Sets I to the location of the sprite for the character in VX.
912	0x2394: 2NNN: Calls subroutine at NNN
916	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
918	0x7305: 7XNN: Adds NN to VX. (Carry flag is not changed)
920	0xee: 00EE: Returns from a subroutine
914	0xf229: FX29: Sets I to the location of the sprite for the character in VX.
916	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
918	0x7305: 7XNN: Adds NN to VX. (Carry flag is not changed)
920	0xee: 00EE: Returns from a subroutine
888	0x6332: 6XNN: Sets VX to NN
890	0x640a: 6XNN: Sets VX to NN
892	0xa3aa: ANNN: Sets I to the address NNN
894	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
896	0x632f: 6XNN: Sets VX to NN
898	0x7406: 7XNN: Adds NN to VX. (Carry flag is not changed)
900	0xa3e6: ANNN: Sets I to the address NNN
902	0xfc33: FX33: Stores the binary-coded decimal representation of VX
904	0xf265: FX65: Fills V0 to VX (including VX) with values from memory starting at address I
906	0xf029: FX29: Sets I to the location of the sprite for the character in VX.
908	0x2394: 2NNN: Calls subroutine at NNN
916	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
918	0x7305: 7XNN: Adds NN to VX. (Carry flag is not changed)
920	0xee: 00EE: Returns from a subroutine
910	0xf129: FX29: Sets I to the location of the sprite for the character in VX.
912	0x2394: 2NNN: Calls subroutine at NNN
916	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
918	0x7305: 7XNN: Adds NN to VX. (Carry flag is not changed)
920	0xee: 00EE: Returns from a subroutine
914	0xf229: FX29: Sets I to the location of the sprite for the character in VX.
916	0xd345: DXYN: Draws a sprite at coordinate (VX, VY) that has a width of 8 pixels and a height of N pixels.
918	0x7305: 7XNN: Adds NN to VX. (Carry flag is not changed)
920	0xee: 00EE: Returns from a subroutine
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
618	0xf00a: FX0A: A key press is awaited, and then stored in VX.
